sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code,SCPType,beneficialOwner,biddingProcess,bolpatraId1,bolpatraId2,bolpatraId3,contractAddress,contractDate,contractType,contractorCountry1,contractorCountry2,contractorCountry3,contractorGenericName,contractorName1,contractorName2,contractorName3,contractorType,deliveryDate,dlpEndDate,dlpStartDate,donorParty,endOrCompleteDate,estimatedCost,fiscalYear,grantLoanNo,ifbNo,isSCP,outstandingValue,percentageOfCompletion,postValidationDate,projectDescription,publicEntity,publicEntityName,sharedPercentage1,sharedPercentage2,sharedPercentage3,sourceOfFund,startDate,totalPayment,vat_no1,vat_no2,vat_no3,warrantyPeriod,contract_id
38,"Urban Development and Building Office, Rupandehi","Construction Of Multipurpose Hall,Sarawal",9704600.4,Works,NCB,Completed,UDB-RUP/34701013/078-79/61,,,--Select Bidding Process --,,,,Sarawal,19-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,KAT Engineering Construction,"""""",,,Single,,,,,,130000.0,2078/79,,UDB-RUP/34701013/078-79/61,No,0.0,100,,"Construction Of Multipurpose Hall,Sarawal",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,1474978.0,608429898,,,0,UDB-RUP/34701013/078-79/61
39,"Urban Development and Building Office, Ilam","Community Building Construction,Tumbewa 3 Panchthar",18071090.89,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/12/076-077,,,Only e-Bid,,,,Ilam,07-07-2020,Unit rate contract,Nepal,--Select Country--,--Select Country--,M/S Shankar Trishakti Nirman Sewa Pvt.Ltd.,M/S Shankar Trishakti Nirman Sewa Pvt.Ltd.,,,Single,,05-07-2023,06-07-2022,,06-07-2022,24203718.4,,,UDBO/ILAM/W/NCB/12/076-077,No,39.48,0,,"Community Building Construction,Tumbewa 3 Panchthar",1846,"Urban Development and Building Office, Ilam",100,,,Goverment,04-07-2020,7136135.69,6313,,,0,UDBO/ILAM/W/NCB/12/076-077
40,"Urban Development and Building Office, Rupandehi","Construction Of Dharmashala at Krishnagar,Kapilvastu",20331230.13,Works,NCB,Completed,UDB-RUP/34701013/078-79/59,,,Only e-Bid,,,,Bhairahawa,30-05-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Brave Construction,"""""",,,Single,,,,,,27397246.75,2078/79,,UDB-RUP/34701013/078-79/59,No,0.0,100,,"Construction Of Dharmashala at Krishnagar,Kapilvastu",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,3676750.0,300118784,,,0,UDB-RUP/34701013/078-79/59
41,"Urban Development and Building Office, Ilam","Community Building Construction Gauradha-3, Jhapa",29852835.31,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/10/076-077,,,Only e-Bid,,,,"Ilam-6, Ilam",10-07-2020,Unit rate contract,Nepal,--Select Country--,--Select Country--,Khanal Construction Pvt. Ltd.,Khanal Construction Pvt. Ltd.,,,Single,,09-07-2023,09-07-2022,,09-07-2022,38885199.45,,,UDBO/ILAM/W/NCB/10/076-077,No,27.0,73,,"Community Building Construction Gauradha-3, Jhapa RCC construction",1846,"Urban Development and Building Office, Ilam",100,,,Goverment,10-07-2020,21776170.0,603571064,,,0,UDBO/ILAM/W/NCB/10/076-077
42,"Urban Development and Building Office, Rupandehi","Construction Of MDrain at Palhinandan-05,Nawalparasi",3688359.55,Works,NCB,Completed,UDB-RUP/34701014/078-79/51,Others,,--Select Bidding Process --,,,,Ramgram-12,03-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Jay Bagrangwali Nirman Sewa,"""""",,,Single,,,,,,4000000.0,2078/79,,UDB-RUP/34701014/078-79/51,Yes,0.0,100,,"Construction Of MDrain at Palhinandan-05,Nawalparasi",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,2545172.62,602103794,,,0,UDB-RUP/34701014/078-79/51
43,"Urban Development and Building Office, Rupandehi","Construction & Maintainance Of BP/Ganeshman Smirti Bhawan ,Bhairahawa",1661932.36,Works,NCB,Completed,UDB-RUP/34701013/078-79/70,Others,,Only e-Bid,,,,Gaidahawa-07,28-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Himshikha Construction Pvt.Ltd.,'',,,Single,,,,,,2500000.0,2078/79,,UDB-RUP/34701013/078-79/70,Yes,0.0,100,,"Construction & Maintainance Of BP/Ganeshman Smirti Bhawan ,Bhairahawa",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,1605023.0,609522925,,,0,UDB-RUP/34701013/078-79/70
44,"Urban Development and Building Office, Rupandehi","Construction OF infrastucture at Bidhutiye Sab Dah,Suddhodhan-02",6939152.03,Works,NCB,Completed,UDB-RUP/34701013/078-79/40,Others,,Only e-Bid,,,,Kotahimai-07,06-03-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Yadav Nirman Sewa,"""""",,,Single,,,,,,10000000.0,2078/79,,UDB-RUP/34701013/078-79/40,Yes,0.0,100,,"Construction OF infrastucture at Bidhutiye Sab Dah,Suddhodhan-02",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,3705297.0,102591091,,,0,UDB-RUP/34701013/078-79/40
45,"Urban Development and Building Office, Rupandehi","Construction & infrastucture At Muktinath Temple,butwal-12",576941.28,Works,NCB,Completed,UDB-RUP/34701013/078-79/69,Others,,--Select Bidding Process --,,,,Butwal-04,19-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Panta Nirman Sewa,"""""",,,Single,,,,,,675420.56,2078/79,,UDB-RUP/34701013/078-79/69,Yes,0.0,100,,"Construction & infrastucture At Muktinath Temple,butwal-12",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,256000.0,300669851,,,0,UDB-RUP/34701013/078-79/69
46,"Urban Development and Building Office, Ilam",Dokan Danda to Boudha Mod Road Construction and Upgrading Works,16173925.11,Works,NCB,Completed,UDBO/ILAM/W/NCB/13/075-76,,,Only e-Bid,,,,"Ilam-6, Ilam",08-07-2019,Unit rate contract,Nepal,--Select Country--,--Select Country--,Khanal Construction Pvt. Ltd.,Khanal Construction Pvt. Ltd.,,,Single,,06-07-2022,06-07-2021,,06-07-2021,26973439.85,,,UDBO/ILAM/W/NCB/13/075-76,No,0.0,100,,Dokan Danda to Boudha Mod Road Construction and Upgrading Works Road pavement work,1846,"Urban Development and Building Office, Ilam",100,,,Goverment,08-07-2019,15069257.0,603571064,,,0,UDBO/ILAM/W/NCB/13/075-76
47,"Urban Development and Building Office, Rupandehi","Construction of Seminar Hall at Foresty Research Centre , Yogikuti, Butwal, Rupandehi.",8342009.48,Works,NCB,Completed,UDB-RUP/34701013/078-79/09,Others,,Only e-Bid,,,,Tilottama-16,27-12-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Mukti Construction Pvt.Ltd.,"""""",,,Single,,,,,,13000000.0,,,UDB-RUP/34701013/078-79/69,Yes,0.0,100,,"Construction of Seminar Hall at Foresty Research Centre , Yogikuti, Butwal, Rupandehi.",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,3898471.0,604262071,,,0,UDB-RUP/34701013/078-79/09
48,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure(Drain Cover) at Prabhatpath to Bhanupath Road,Si.na.pa.-09, Rupandehi",2589582.24,Works,NCB,In-Progress,UDB-RUP/34701012/078-79/04,Others,,Only e-Bid,,,,Omsatiyaa,03-01-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Sahani Builders,"""""",,,Single,,,,,,3854273.0,,,UDB-RUP/34701012/078-79/04,Yes,2589582.24,30,,"Construction of Infrastructure(Drain Cover) at Prabhatpath to Bhanupath Road,Si.na.pa.-09, Rupandehi",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,477673.0,616068519,,,0,UDB-RUP/34701012/078-79/04
49,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure (Road Upgrading Works) at Unnatitole, Omsatiya Rural Municipality, Rupandehi.",1850689.14,Works,NCB,Completed,UDB-RUP/34701012/NCB/078-79/3,Others,,Only e-Bid,,,,Si.Na.Pa.-11,03-01-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Safik Nirman Sewa,"""""",,,Single,,,,,,2896904.22,2078/79,,UDB-RUP/34701012/NCB/078-79/3,Yes,0.0,100,,"Construction of Infrastructure (Road Upgrading Works) at Unnatitole, Omsatiya Rural Municipality, Rupandehi.",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,1425982.0,300117318,,,0,UDB-RUP/34701012/NCB/078-79/3
50,"Urban Development and Building Office, Rupandehi","Construction of Road and Drain at Semarhana Mayadevi-5, Marchawari-6,Rupandehi",5127135.72,Works,NCB,Completed,UDB-RUP/34701012/NCB/078-79/13,Others,,Only e-Bid,,,,"Si.Na.Pa.-11,Rupandehi",03-01-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,"Safik Nirman Sewa,Si.Na.Pa.-11,Rupandehi","Safik Nirman Sewa,Si.Na.Pa.-11,Rupandehi",,,Single,,,,,,6716185.65,2078/79,,UDB-RUP/34701012/NCB/078-79/13,Yes,0.0,100,,"Construction of Road and Drain at Semarhana Mayadevi-5, Marchawari-6,Rupandehi",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,906000.0,300117318,,,0,UDB-RUP/34701012/NCB/078-79/13
51,"Urban Development and Building Office, Ilam","Construction of Durga Community Building, Gwaldubba, Jhapa",11409368.85,Works,NCB,Completed,UDBO/ILAM/W/NCB/12/075-76,,,Only e-Bid,,,,"Bhadrapur 8, Jhapa",23-06-2019,Unit rate contract,Nepal,--Select Country--,--Select Country--,Garima Nirman Sewa,Garima Nirman Sewa,,,Single,,21-06-2021,21-06-2020,,21-06-2020,14750097.87,,,UDBO/ILAM/W/NCB/12/075-76,No,0.0,100,,"Construction of Durga Community Building, Gwaldubba, Jhapa RCC construction works",1846,"Urban Development and Building Office, Ilam",100,,,Goverment,23-06-2019,11766103.0,603636385,,,0,UDBO/ILAM/W/NCB/12/075-76
52,"Urban Development and Building Office, Rupandehi","Roadway Upgrading Works at South of Karmahawa Talariya Pokhari, Mayadevi-7, Kapilvastu.",1410889.75,Works,NCB,In-Progress,UDB-RUP/34701012/NCB/078-79/17,Others,,Only e-Bid,,,,"Bagha-2, Chanauli, Rupandehi",21-12-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,"Baishnavi Nirman Sewa, Bagha-2, Chanauli, Rupandehi","Baishnavi Nirman Sewa, Bagha-2, Chanauli, Rupandehi",,,Single,,,,,,1930331.07,2078/79,,UDB-RUP/34701012/NCB/078-79/17,Yes,1410889.75,30,,"Roadway Upgrading Works at South of Karmahawa Talariya Pokhari, Mayadevi-7, Kapilvastu.",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,827537.0,605537066,,,0,UDB-RUP/34701012/NCB/078-79/17
53,"Urban Development and Building Office, Rupandehi","Upgrading works of Road at Wasa Basanta Ma.vi Tole & Valuhi- Ahiroli,Sarawal 1 & 2 (Ekikrit Basti Bikas), West Nawalparasi.",5614954.67,Works,NCB,Completed,UDB-RUP/34701012/NCB/078-79/27,Others,,--Select Bidding Process --,,,,"Jahada-06,Nawalparasi",04-03-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,"Navin Construction,Jahada-06,Nawalparasi","Navin Construction,Jahada-06,Nawalparasi",,,Single,,,,,,6835356.3,2078/79,,UDB-RUP/34701012/NCB/078-79/27,Yes,0.0,100,,"Upgrading works of Road at Wasa Basanta Ma.vi Tole & Valuhi- Ahiroli,Sarawal 1 & 2 (Ekikrit Basti Bikas), West Nawalparasi.",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,1139921.0,300119086,,,0,UDB-RUP/34701012/NCB/078-79/27
54,"Urban Development and Building Office, Ilam",Simingchong Sarbadharma Community Building Construction,18447175.63,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/11/076-077,,,Only e-Bid,,,,"phidim-1 ,Panchthar",10-07-2020,Unit rate contract,Nepal,Nepal,Nepal,M/S Joshi/Sanjeev J.V,M/S Joshi/Sanjeev J.V,Joshi Nirman Sewa,Sanjeev Nirman sewa,Joint Venture,,13-04-2024,13-03-2023,,13-04-2023,24767423.6,,,UDBO/ILAM/W/NCB/11/076-077,No,47.46,0,,Simingchong Sarbadharma Community Building Construction,1846,"Urban Development and Building Office, Ilam",100,60,40,Goverment,10-07-2020,8755880.34,613329224,,,0,UDBO/ILAM/W/NCB/11/076-077
55,"Urban Development and Building Office, Ilam","Construction Of Community Building in Deurali Bazaar, Ilam",22280922.06,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/18/075-76,,,Only e-Bid,,,,ilam municipality,15-07-2019,Unit rate contract,Nepal,Nepal,--Select Country--,sewalung-kirat j.v,sewalung nirman sewa,kirat nirman sewa,,Joint Venture,,13-04-2023,13-04-2022,,13-04-2022,28667146.68,,,UDBO/ILAM/W/NCB/18/075-76,No,18.0,82,,"Construction Of Community Building in Deurali Bazaar, Ilam",1846,"Urban Development and Building Office, Ilam",51,49,,Goverment,15-07-2019,18455127.34,305443988,300005956.0,,0,UDBO/ILAM/W/NCB/18/075-76
56,"Urban Development and Building Office, Ilam","Construction of Road from Durga Chowk to Simsar Kankai-1, Jhapa",36858939.3,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/05/076-077,,,Only e-Bid,,,,"Biratnagar-16, Morang",19-06-2020,Unit rate contract,Nepal,--Select Country--,--Select Country--,S.A.S Construction Pvt. Ltd.,S.A.S Construction Pvt. Ltd.,,,Single,,18-06-2023,18-06-2022,,18-06-2022,46699794.26,,,UDBO/ILAM/W/NCB/05/076-077,No,22.0,78,,"Construction of Road from Durga Chowk to Simsar Kankai-1, Jhapa Road pavement work",1846,"Urban Development and Building Office, Ilam",100,,,Goverment,19-06-2020,28883068.0,604310086,,,0,UDBO/ILAM/W/NCB/05/076-077
57,"Urban Development and Building Office, Ilam","Construction of Connecting Road and Drainage from Surunga Bridge to Tappu Kankai-2, Jhapa",34121879.07,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/04/076-077,,,Only e-Bid,,,,"Biratnagar-16, Morang",19-06-2020,Unit rate contract,Nepal,--Select Country--,--Select Country--,S.A.S Construction Pvt. Ltd.,S.A.S Construction Pvt. Ltd.,,,Single,,18-06-2023,18-06-2022,,18-06-2022,45018833.74,,,UDBO/ILAM/W/NCB/04/076-077,No,26.0,74,,"Construction of Connecting Road and Drainage from Surunga Bridge to Tappu Kankai-2, Jhapa. Road pavement work",1846,"Urban Development and Building Office, Ilam",100,,,Goverment,19-06-2020,25201237.0,604310086,,,0,UDBO/ILAM/W/NCB/04/076-077
58,"Urban Development and Building Office, Ilam","Construction of Office Building Water Resource and Irrigation Development Division ,Phidim",16369713.17,Works,NCB,Completed,UDBO/ILAM/W/NCB/02/076-077,,,Only e-Bid,,,,Panchthar,20-05-2020,Unit rate contract,Nepal,Nepal,Nepal,DHULIKHEL/MUBEN J.V,DHULIKHEL/MUBEN J.V,Dhukikhel Nirman sewa Pvt.Ltd.,Muben Construction Pvt .Ltd,Joint Venture,,18-05-2023,18-05-2022,,18-05-2022,18771472.5,,,UDBO/ILAM/W/NCB/02/076-077,No,0.0,100,,"Construction of Office Building Water Resource and Irrigation Development Division ,Phidim",1846,"Urban Development and Building Office, Ilam",100,60,40,Goverment,20-05-2020,14673721.73,613265353,,,0,UDBO/ILAM/W/NCB/02/076-077
59,"Urban Development and Building Office, Ilam",Construction of Madan Bhandari Smrithi Pratisthan Bhawan at Fungling,22299029.1,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/01/076-077,,,Only e-Bid,,,,Taplejung,20-05-2020,Unit rate contract,Nepal,Nepal,Nepal,SAS/POMU/ANGBUHANG J.V,SAS/POMU/ANGBUHANG J.V,S.A.S Construction PVT.LTD,Aangbuhang construction,Joint Venture,,14-01-2024,14-01-2023,,14-01-2023,22900813.3,,,UDBO/ILAM/W/NCB/01/076-077,No,42.25,0,,Construction of Madan Bhandari Smrithi Pratisthan Bhawan at Fungling,1846,"Urban Development and Building Office, Ilam",100,50,25,Goverment,20-05-2020,12877464.31,613320539,,,0,UDBO/ILAM/W/NCB/01/076-077
60,"Urban Development and Building Office, Rupandehi","Construction Of Infrastucture at Bipasna Centre,Sarawal-02,Nawalparasi",8930581.0,Works,NCB,Completed,UDB-RUP/34701013/078-79/60.,,,Only e-Bid,,,,Sarawal 02,21-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,KAT Engineering Construction,KAT Engineering Construction,,,Single,,,,,,13000000.0,2078/79,,UDB-RUP/34701013/078-79/60.,No,0.0,100,,"Construction Of Infrastucture at Bipasna Centre,Sarawal-02,Nawalparasi",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,0.0,608429898,,,0,UDB-RUP/34701013/078-79/60.
61,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Jhangar Khola Bridge (RCC 1x15), Nuwakot",34774037.91,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-002,,,Only e-Bid,,,,"Jadibuti, Kathmandu",09-11-2020,Unit rate contract,Nepal,Nepal,Nepal,Anjana-RD-RS JV,"Anjana Nirman Sewa Co. Pvt. Ltd., Putalisadak-32 , Kathmandu, Nepal","R.D. & Nirman Sewa Pvt. Ltd. Balkhu, kathmandu, Nepal","R.S. Nirman Sewa, Jadibuiti-32, Kathmandu",Joint Venture,,,,,08-07-2022,49985060.54,,,02-2076/77,No,15.0,85,,"Construction of Jhangar Khola Bridge (RCC 1x15), Nuwakot",453,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,25,37,38,Goverment,24-11-2020,28097050.49,300845312,300063215.0,601140710.0,0,GTMSRRP/337011094/076/77-002
62,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Dhobi Khola Bridge (RCC1X15m), Nuwakot",28370944.05,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-003,,,Only e-Bid,,,,"Jadibuti, Kathmandu",09-11-2020,Unit rate contract,Nepal,Nepal,Nepal,Anjana-RD-RS JV,"Anjana Nirman Sewa Co. Pvt. Ltd., Putalisadak-32 , Kathmandu, Nepal","R.D. & Nirman Sewa Pvt. Ltd. Balkhu, kathmandu, Nepal","R.S. Nirman Sewa, Jadibuiti-32, Kathmandu",Joint Venture,,,,,,34623550.63,,,02-2076/77,No,95.0,5,,"Construction of Dhobi Khola Bridge (RCC1X15m), Nuwakot",453,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,25,37,38,Goverment,24-07-2022,0.0,300845312,300063215.0,601140710.0,0,GTMSRRP/337011094/076/77-003
63,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Bire Khola Bridge (RCC1X20m), Nuwakot",33542100.19,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-004,,,Only e-Bid,,,,"Jadibuti, Kathmandu",12-11-2020,Unit rate contract,Nepal,Nepal,Nepal,Anjana-RD-RS JV,"Anjana Nirman Sewa Co. Pvt. Ltd., Putalisadak-32 , Kathmandu, Nepal","R.D. & Nirman Sewa Pvt. Ltd. Balkhu, kathmandu, Nepal","R.S. Nirman Sewa, Jadibuiti-32, Kathmandu",Joint Venture,,,,,,46028396.18,,,02-2076/77,No,10.0,90,,"Construction of Bire Khola Bridge (RCC1X20m), Nuwakot",453,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,25,37,38,Goverment,27-11-2020,29583140.73,300845312,300063215.0,601140710.0,0,GTMSRRP/337011094/076/77-004
64,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Gundre Khola Bridge (RCC1X15m), Nuwakot",35079246.56,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-005,,,Only e-Bid,,,,"Jadibuti, Kathmandu",12-11-2020,Unit rate contract,Nepal,Nepal,Nepal,Anjana-RD-RS JV,"Anjana Nirman Sewa Co. Pvt. Ltd., Putalisadak-32 , Kathmandu, Nepal","R.D. & Nirman Sewa Pvt. Ltd. Balkhu, kathmandu, Nepal","R.S. Nirman Sewa, Jadibuiti-32, Kathmandu",Joint Venture,,,,,,48318588.23,,,02-2076/77,No,5.0,95,,"Construction of Gundre Khola Bridge (RCC1X15m), Nuwakot",453,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,25,37,38,Goverment,27-11-2020,31647301.85,300845312,300063215.0,601140710.0,0,GTMSRRP/337011094/076/77-005
65,"Urban Development and Building Office, Ilam","COnstruction of Road from Gauradaha Everest School to Red Cross Office, Gauradaha-1, Jhapa",16149988.95,Works,NCB,Completed,UDBO/ILAM/W/NCB/09/076-077,,,Only e-Bid,,,,Damak 8 Jhapa,29-06-2020,Unit rate contract,Nepal,--Select Country--,--Select Country--,Mangsuwa Nirman Sewa,Mangsuwa Nirman Sewa,,,Single,,28-06-2023,28-06-2022,,28-06-2022,19740203.19,,,UDBO/ILAM/W/NCB/09/076-077,No,0.0,100,,"COnstruction of Road from Gauradaha Everest School to Red Cross Office, Gauradaha-1, Jhapa. Road Pavement work",1846,"Urban Development and Building Office, Ilam",100,,,Goverment,29-06-2020,15801407.0,300218671,,,0,UDBO/ILAM/W/NCB/09/076-077
66,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Sukaure Khola Bridge (RCC1X20m), Nuwakot",32230792.78,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-006,,,Only e-Bid,,,,"Jadibuti, Kathmandu",12-11-2020,Unit rate contract,Nepal,Nepal,Nepal,Anjana-RD-RS JV,"Anjana Nirman Sewa Co. Pvt. Ltd., Putalisadak-32 , Kathmandu, Nepal","R.D. & Nirman Sewa Pvt. Ltd. Balkhu, kathmandu, Nepal","R.S. Nirman Sewa, Jadibuiti-32, Kathmandu",Joint Venture,,,,,,44805961.99,,,02-2076/77,No,10.0,90,,"Construction of Sukaure Khola Bridge (RCC1X20m), Nuwakot",453,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,25,37,38,Goverment,27-11-2020,26367374.8,300845312,300063215.0,601140710.0,0,GTMSRRP/337011094/076/77-006
67,"Urban Development and Building Office, Ilam","Construction of Community Building at Shri Durga Panchayan Temple Area Arjundhara-2, Jhapa",10858713.62,Works,NCB,Completed,UDBO/ILAM/W/NCB/03/076-077,,,Only e-Bid,,,,"Bhadrapur 8, Jhapa",29-05-2020,Unit rate contract,Nepal,--Select Country--,--Select Country--,Garima Nirman Sewa,Garima Nirman Sewa,,,Single,,30-05-2022,30-05-2021,,30-05-2021,14261497.63,,,UDBO/ILAM/W/NCB/03/076-077,No,0.0,100,,"Construction of Community Building at Shri Durga Panchayan Temple Area Arjundhara-2, Jhapa. RCC construction works",1846,"Urban Development and Building Office, Ilam",100,,,--Select source of Fund --,29-05-2020,9763550.0,603636385,,,0,UDBO/ILAM/W/NCB/03/076-077
68,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Slope Stabilization and Protection for Road Slope Disaster Management of Galchhi Landslide, Dhading (Ch. 2+100) and Jiling Landslide, Nuwakot (Ch. 16+200)",180549903.04,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-007,,,Only e-Bid,,,,Kathmandu,02-02-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Contech Pvt. Ltd,"Contech Pvt. Ltd, Kathmandu",,,Single,,,,,,279331930.27,,,03-2076/77,No,75.0,25,,"Slope Stabilization and Protection for Road Slope Disaster Management of Galchhi Landslide, Dhading (Ch. 2+100) and Jiling Landslide, Nuwakot (Ch. 16+200)",453,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,100,,,Goverment,17-02-2021,39297114.52,300064414,,,0,GTMSRRP/337011094/076/77-007
69,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"""Slope Stabilization and Protection for Road Slope Disaster Management of Tirtire Bhir Landslide, Nuwakot (Ch. 32+200)""",156819968.15,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-008,,,Only e-Bid,,,,"Banasthali-16, Kathmandu",09-03-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Immortal Construction Pvt. Ltd,"Immortal Construction Pvt. Ltd, Banasthali-16, Kathmandu",,,Single,,,,,,251220258.17,,,03-2076/77,No,95.0,5,,"""Slope Stabilization and Protection for Road Slope Disaster Management of Tirtire Bhir
Landslide, Nuwakot (Ch. 32+200)""",453,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,100,,,Goverment,24-03-2021,2926484.98,300725206,,,0,GTMSRRP/337011094/076/77-008
